t,d0_x,d0_y,d0_z,d0_poserr,d0_solve_ms,d1_x,d1_y,d1_z,d1_poserr,d1_solve_ms,d2_x,d2_y,d2_z,d2_poserr,d2_solve_ms,leader_x,leader_y,leader_z,formation_max_err,min_spacing
1.3500,3.0000,0.0000,-10.0000,0.0000,0.0420,-1.5000,2.5980,-10.0000,0.0000,0.0448,-1.5000,-2.5980,-10.0000,0.0000,0.0420,0.0000,0.0000,-5.0000,0.0000,5.1960
1.4000,3.0000,0.0000,-10.0000,0.0000,0.0424,-1.5000,2.5980,-10.0000,0.0000,0.0425,-1.5000,-2.5980,-10.0000,0.0000,0.0421,0.0000,0.0000,-5.0000,0.0000,5.1960
1.4500,3.0000,0.0000,-10.0000,0.0000,0.0434,-1.5000,2.5980,-10.0000,0.0000,0.0423,-1.5000,-2.5980,-10.0000,0.0000,0.0420,0.0000,0.0000,-5.0000,0.0000,5.1960
1.5000,3.0000,0.0000,-10.0000,0.0000,0.0443,-1.5000,2.5980,-10.0000,0.0000,0.0450,-1.5000,-2.5980,-10.0000,0.0000,0.0451,0.0000,0.0000,-5.0000,0.0000,5.1960
1.5500,3.0000,0.0000,-10.0000,0.0000,0.0452,-1.5000,2.5980,-10.0000,0.0000,0.0447,-1.5000,-2.5980,-10.0000,0.0000,0.0453,0.0000,0.0000,-5.0000,0.0000,5.1960
1.6000,3.0000,0.0000,-10.0000,0.0000,0.0453,-1.5000,2.5980,-10.0000,0.0000,0.0450,-1.5000,-2.5980,-10.0000,0.0000,0.0478,0.0000,0.0000,-5.0000,0.0000,5.1960
1.6500,3.0000,0.0000,-10.0000,0.0000,0.0452,-1.5000,2.5980,-10.0000,0.0000,0.0454,-1.5000,-2.5980,-10.0000,0.0000,0.0451,0.0000,0.0000,-5.0000,0.0000,5.1960
1.7000,3.0000,0.0000,-10.0000,0.0000,0.0456,-1.5000,2.5980,-10.0000,0.0000,0.0448,-1.5000,-2.5980,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,5.1960
1.7500,3.0000,0.0000,-10.0000,0.0000,0.0460,-1.5000,2.5980,-10.0000,0.0000,0.0456,-1.5000,-2.5980,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,5.1960
1.8000,3.0000,0.0000,-10.0000,0.0000,0.0446,-1.5000,2.5980,-10.0000,0.0000,0.0447,-1.5000,-2.5980,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,5.1960
1.8500,3.0000,0.0000,-10.0000,0.0000,0.0447,-1.5000,2.5980,-10.0000,0.0000,0.0447,-1.5000,-2.5980,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,5.1960
1.9000,3.0000,0.0000,-10.0000,0.0000,0.0452,-1.5000,2.5980,-10.0000,0.0000,0.0450,-1.5000,-2.5980,-10.0000,0.0000,0.0449,0.0000,0.0000,-5.0000,0.0000,5.1960
1.9500,3.0000,0.0000,-10.0000,0.0000,0.0449,-1.5000,2.5980,-10.0000,0.0000,0.0452,-1.5000,-2.5980,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,5.1960
2.0000,3.0000,0.0000,-10.0000,0.0000,0.0445,-1.5000,2.5980,-10.0000,0.0000,0.0450,-1.5000,-2.5980,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,5.1960
2.0500,3.0000,0.0000,-10.0000,0.0000,0.0458,-1.5000,2.5980,-10.0000,0.0000,0.0455,-1.5000,-2.5980,-10.0000,0.0000,0.0454,0.0000,0.0000,-5.0000,0.0000,5.1960
2.1000,3.0000,0.0000,-10.0000,0.0000,0.0447,-1.5000,2.5980,-10.0000,0.0000,0.0448,-1.5000,-2.5980,-10.0000,0.0000,0.0444,0.0000,0.0000,-5.0000,0.0000,5.1960
2.1500,3.0000,0.0000,-10.0000,0.0000,0.0446,-1.5000,2.5980,-10.0000,0.0000,0.0448,-1.5000,-2.5980,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,5.1960
2.2000,3.0000,0.0000,-10.0000,0.0000,0.0462,-1.5000,2.5980,-10.0000,0.0000,0.0460,-1.5000,-2.5980,-10.0000,0.0000,0.0460,0.0000,0.0000,-5.0000,0.0000,5.1960
2.2500,3.0000,0.0000,-10.0000,0.0000,0.0456,-1.5000,2.5980,-10.0000,0.0000,0.0448,-1.5000,-2.5980,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,5.1960
2.3000,3.0000,0.0000,-10.0000,0.0000,0.0444,-1.5000,2.5980,-10.0000,0.0000,0.0447,-1.5000,-2.5980,-10.0000,0.0000,0.0449,0.0000,0.0000,-5.0000,0.0000,5.1960
2.3500,3.0000,0.0000,-10.0000,0.0000,0.0454,-1.5000,2.5980,-10.0000,0.0000,0.0447,-1.5000,-2.5980,-10.0000,0.0000,0.0444,0.0000,0.0000,-5.0000,0.0000,5.1960
2.4000,3.0000,0.0000,-10.0000,0.0000,0.0445,-1.5000,2.5980,-10.0000,0.0000,0.0445,-1.5000,-2.5980,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,5.1960
2.4500,3.0000,0.0000,-10.0000,0.0000,0.0446,-1.5000,2.5980,-10.0000,0.0000,0.0446,-1.5000,-2.5980,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,5.1960
2.5000,3.0000,0.0000,-10.0000,0.0000,0.0458,-1.5000,2.5980,-10.0000,0.0000,0.0458,-1.5000,-2.5980,-10.0000,0.0000,0.0455,0.0000,0.0000,-5.0000,0.0000,5.1960
2.5500,3.0000,0.0000,-10.0000,0.0000,0.0447,-1.5000,2.5980,-10.0000,0.0000,0.0450,-1.5000,-2.5980,-10.0000,0.0000,0.0446,0.0000,0.0000,-5.0000,0.0000,5.1960
2.6000,3.0000,0.0000,-10.0000,0.0000,0.0445,-1.5000,2.5980,-10.0000,0.0000,0.0448,-1.5000,-2.5980,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,5.1960
2.6500,3.0000,0.0000,-10.0000,0.0000,0.0456,-1.5000,2.5980,-10.0000,0.0000,0.0457,-1.5000,-2.5980,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,5.1960
2.7000,3.0000,0.0000,-10.0000,0.0000,0.0432,-1.5000,2.5980,-10.0000,0.0000,0.0428,-1.5000,-2.5980,-10.0000,0.0000,0.0422,0.0000,0.0000,-5.0000,0.0000,5.1960
2.7500,3.0000,0.0000,-10.0000,0.0000,0.0425,-1.5000,2.5980,-10.0000,0.0000,0.0426,-1.5000,-2.5980,-10.0000,0.0000,0.0423,0.0000,0.0000,-5.0000,0.0000,5.1960
2.8000,3.0000,0.0000,-10.0000,0.0000,0.0434,-1.5000,2.5980,-10.0000,0.0000,0.0426,-1.5000,-2.5980,-10.0000,0.0000,0.0428,0.0000,0.0000,-5.0000,0.0000,5.1960
2.8500,3.0000,0.0000,-10.0000,0.0000,0.0449,-1.5000,2.5980,-10.0000,0.0000,0.0439,-1.5000,-2.5980,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,5.1960
2.9000,3.0000,0.0000,-10.0000,0.0000,0.0439,-1.5000,2.5980,-10.0000,0.0000,0.0435,-1.5000,-2.5980,-10.0000,0.0000,0.0423,0.0000,0.0000,-5.0000,0.0000,5.1960
2.9500,3.0000,0.0000,-10.0000,0.0000,0.0457,-1.5000,2.5980,-10.0000,0.0000,0.0444,-1.5000,-2.5980,-10.0000,0.0000,0.0445,0.0000,0.0000,-5.0000,0.0000,5.1960
3.0000,3.0000,0.0000,-10.0000,0.0000,0.0446,-1.5000,2.5980,-10.0000,0.0000,0.0446,-1.5000,-2.5980,-10.0000,0.0000,0.0446,0.0000,0.0000,-5.0000,0.0000,5.1960
3.0500,3.0000,0.0000,-10.0000,0.0000,0.0450,-1.5000,2.5980,-10.0000,0.0000,0.0450,-1.5000,-2.5980,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,5.1960
3.1000,3.0000,0.0000,-10.0000,0.0000,0.0484,-1.5000,2.5980,-10.0000,0.0000,0.0437,-1.5000,-2.5980,-10.0000,0.0000,0.0425,0.0000,0.0000,-5.0000,0.0000,5.1960
3.1500,3.0000,0.0000,-10.0000,0.0000,0.0424,-1.5000,2.5980,-10.0000,0.0000,0.0444,-1.5000,-2.5980,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,5.1960
3.2000,3.0000,0.0000,-10.0000,0.0000,0.0448,-1.5000,2.5980,-10.0000,0.0000,0.0450,-1.5000,-2.5980,-10.0000,0.0000,0.0449,0.0000,0.0000,-5.0000,0.0000,5.1960
3.2500,3.0000,0.0000,-10.0000,0.0000,0.0456,-1.5000,2.5980,-10.0000,0.0000,0.0448,-1.5000,-2.5980,-10.0000,0.0000,0.0447,0.0000,0.0000,-5.0000,0.0000,5.1960
3.3000,3.0000,0.0000,-10.0000,0.0000,0.0447,-1.5000,2.5980,-10.0000,0.0000,0.0448,-1.5000,-2.5980,-10.0000,0.0000,0.0460,0.0000,0.0000,-5.0000,0.0000,5.1960
3.3500,3.0000,0.0000,-10.0000,0.0000,0.0454,-1.5000,2.5980,-10.0000,0.0000,0.0476,-1.5000,-2.5980,-10.0000,0.0000,0.0454,0.0000,0.0000,-5.0000,0.0000,5.1960
3.4000,3.0000,0.0000,-10.0000,0.0000,0.0455,-1.5000,2.5980,-10.0000,0.0000,0.0453,-1.5000,-2.5980,-10.0000,0.0000,0.0452,0.0000,0.0000,-5.0000,0.0000,5.1960
3.4500,3.0000,0.0000,-10.0000,0.0000,0.0449,-1.5000,2.5980,-10.0000,0.0000,0.0447,-1.5000,-2.5980,-10.0000,0.0000,0.0443,0.0000,0.0000,-5.0000,0.0000,5.1960
3.5000,3.0000,0.0000,-10.0000,0.0000,0.0581,-1.5000,2.5980,-10.0000,0.0000,0.0452,-1.5000,-2.5980,-10.0000,0.0000,0.0454,0.0000,0.0000,-5.0000,0.0000,5.1960
3.5500,3.0000,0.0000,-10.0000,0.0000,0.0449,-1.5000,2.5980,-10.0000,0.0000,0.0451,-1.5000,-2.5980,-10.0000,0.0000,0.0446,0.0000,0.0000,-5.0000,0.0000,5.1960
3.6000,3.0000,0.0000,-10.0000,0.0000,0.0448,-1.5000,2.5980,-10.0000,0.0000,0.0451,-1.5000,-2.5980,-10.0000,0.0000,0.0450,0.0000,0.0000,-5.0000,0.0000,5.1960
3.6500,3.0000,0.0000,-10.0000,0.0000,0.0448,-1.5000,2.5980,-10.0000,0.0000,0.0453,-1.5000,-2.5980,-10.0000,0.0000,0.0448,0.0000,0.0000,-5.0000,0.0000,5.1960
